word,splits,translation
あげ,"['みんな', '菓子', 'あげ', 'ましょう', '。', 'Give everyone candy.']",Give everyone candy.
ましょう,"['あげ', 'ましょう', 'Let me give you']",Let me give you
みんな,"['みんな', 'に', '伝え', 'tell everyone']",tell everyone
に,"['みんな', 'に', '伝え', 'tell everyone']",tell everyone
この,"['この', 'こと', '伝え', 'tell me this']",tell me this
こと,"['この', 'こと', 'を', '伝え', 'tell this']",tell this
を,"['こと', 'を', '伝え', 'tell']",tell
伝え,"['みんな', 'こと', '伝え', 'て', '。', 'Tell everyone.']",Tell everyone.
て,"['伝え', 'て', 'ください', 'Please tell']",Please tell
ください,"['伝え', 'て', 'ください', 'Please tell']",Please tell
テスト,"['テスト', 'で', '取っ', 'taken in the test']",taken in the test
で,"['テスト', 'で', '取っ', 'taken in the test']",taken in the test
いい,"['いい', '点', '取っ', 'good score']",good score
点,"['いい', '点', 'を', '取っ', 'get a good score']",get a good score
を,"['点', 'を', '取っ', 'score']",score
取っ,"['テスト', '点', '取っ', 'た', '。', 'got a test score.']",got a test score.
た,"['取っ', 'た', 'took']",took
メモ,"['メモ', 'を', '取っ', 'take notes']",take notes
を,"['メモ', 'を', '取っ', 'take notes']",take notes
取っ,"['メモ', '取っ', 'て', '。', 'Take notes.']",Take notes.
て,"['取っ', 'て', 'ください', 'Please take']",Please take
ください,"['取っ', 'て', 'ください', 'Please take']",Please take
私,"['私', 'は', '勉強', 'i study']",i study
は,"['私', 'は', '勉強', 'i study']",i study
日本,"['日本', '語', '勉強', 'Japanese study']",Japanese study
語,"['日本', '語', 'を', '勉強', 'study japanese']",study japanese
を,"['語', 'を', '勉強', 'study a language']",study a language
勉強,"['私', '語', '勉強', 'し', 'て', 'ます', '。', ""I'm studying my language.""]",I'm studying my language.
し,"['勉強', 'し', 'study']",study
て,"['勉強', 'て', 'い', 'studying']",studying
い,"['勉強', 'て', 'い', 'studying']",studying
ます,"['勉強', 'ます', 'study']",study
彼,"['彼', 'は', '勉強', 'he studies']",he studies
は,"['彼', 'は', '勉強', 'he studies']",he studies
今,"['今', '、', '勉強', 'study now']",study now
勉強,"['彼', '今', '勉強', 'し', 'て', 'ます', '。', 'he is studying now']",he is studying now
し,"['勉強', 'し', 'study']",study
て,"['勉強', 'て', 'い', 'studying']",studying
い,"['勉強', 'て', 'い', 'studying']",studying
ます,"['勉強', 'ます', 'study']",study
彼女,"['彼女', 'は', 'でき', 'she can']",she can
は,"['彼女', 'は', 'でき', 'she can']",she can
イタリア,"['イタリア', '語', 'でき', 'can speak italian']",can speak italian
語,"['イタリア', '語', 'が', 'でき', 'can speak italian']",can speak italian
が,"['語', 'が', 'でき', 'can speak']",can speak
でき,"['彼女', '語', 'でき', 'ます', '。', 'she can speak']",she can speak
ます,"['でき', 'ます', 'I can do it']",I can do it
トラック,"['トラック', 'を', '運転', 'drive a truck']",drive a truck
を,"['トラック', 'を', '運転', 'drive a truck']",drive a truck
運転,"['トラック', '運転', 'でき', 'ます', 'か', '。', 'Can you drive a truck?']",Can you drive a truck?
でき,"['運転', 'でき', 'can drive']",can drive
ます,"['運転', 'ます', 'will drive']",will drive
か,"['運転', 'か', 'driving']",driving
彼,"['彼', 'は', '短い', 'he is short']",he is short
は,"['彼', 'は', '短い', 'he is short']",he is short
足,"['足', 'が', '短い', 'short legs']",short legs
が,"['足', 'が', '短い', 'short legs']",short legs
短い,"['彼', '足', '短い', '。', ""he's short""]",he's short
この,"['この', 'セーター', '短い', 'this sweater is short']",this sweater is short
セーター,"['この', 'セーター', 'は', '短い', 'this sweater is short']",this sweater is short
は,"['セーター', 'は', '短い', 'the sweater is short']",the sweater is short
ちょっと,"['ちょっと', '短い', 'a little short']",a little short
短い,"['セーター', 'ちょっと', '短い', 'です', 'ね', '。', 'Sweater is a little short.']",Sweater is a little short.
です,"['短い', 'です', 'short']",short
ね,"['短い', 'ね', 'short']",short
猿,"['猿', 'も', '落ちる', 'monkeys fall']",monkeys fall
も,"['猿', 'も', '落ちる', 'monkeys fall']",monkeys fall
木,"['木', 'から', '落ちる', 'fall from a tree']",fall from a tree
から,"['木', 'から', '落ちる', 'fall from a tree']",fall from a tree
落ちる,"['猿', '木', '落ちる', '。', 'Saruki falls.']",Saruki falls.
道,"['道', 'に', '落ち', 'fall in the road']",fall in the road
に,"['道', 'に', '落ち', 'fall in the road']",fall in the road
何,"['何', 'か', '落ち', 'something fell']",something fell
か,"['何', 'か', '落ち', 'something fell']",something fell
落ち,"['道', '何', '落ち', 'て', 'ます', '。', 'What is the road going down?']",What is the road going down?
て,"['落ち', 'て', 'い', 'fall down']",fall down
い,"['落ち', 'て', 'い', 'fall down']",fall down
ます,"['落ち', 'ます', 'fall']",fall
うち,"['うち', 'の', '息子', '生', 'my son student']",my son student
の,"['うち', 'の', '息子', '生', 'my son student']",my son student
息子,"['うち', '息子', 'は', '生', 'my son is alive']",my son is alive
は,"['息子', 'は', '生', 'son is alive']",son is alive
大学,"['大学', '生', 'university student']",university student
1,"['1', '生', '1 student']",1 student
年,"['年', '生', 'sophomore']",sophomore
生,"['息子', '大学', '1', '年', '生', 'です', '。', 'My son is a freshman in college.']",My son is a freshman in college.
です,"['生', 'です', 'raw']",raw
息子,"['息子', 'は', '生', 'son is alive']",son is alive
は,"['息子', 'は', '生', 'son is alive']",son is alive
中学,"['中学', '生', 'Middle school students']",Middle school students
生,"['息子', '中学', '生', 'です', '。', 'My son is in junior high school.']",My son is in junior high school.
です,"['生', 'です', 'raw']",raw
彼,"['彼', 'は', '白い', 'he is white']",he is white
は,"['彼', 'は', '白い', 'he is white']",he is white
歯,"['歯', 'が', '白い', 'white teeth']",white teeth
が,"['歯', 'が', '白い', 'white teeth']",white teeth
白い,"['彼', '歯', '白い', '。', 'he has white teeth.']",he has white teeth.
庭,"['庭', 'に', 'い', 'in the garden']",in the garden
に,"['庭', 'に', 'い', 'in the garden']",in the garden
白い,"['白い', 'い', 'ネコ', 'white cat']",white cat
ネコ,"['白い', 'い', 'ネコ', 'が', 'white cat']",white cat
が,"['い', 'ネコ', 'が', 'a cat']",a cat
い,"['庭', 'い', 'ネコ', 'ます', '。', 'Garden cat.']",Garden cat.
ます,"['い', 'ます', 'is']",is
息子,"['息子', 'は', '好き', 'I like my son']",I like my son
は,"['息子', 'は', '好き', 'I like my son']",I like my son
飛行,"['飛行', '機', 'おもちゃ', '好き', 'i love airplane toys']",i love airplane toys
機,"['飛行', '機', 'の', 'おもちゃ', '好き', 'i love airplane toys']",i love airplane toys
の,"['機', 'の', 'おもちゃ', '好き', 'machine toy lover']",machine toy lover
おもちゃ,"['機', 'おもちゃ', 'が', '好き', 'i like machine toys']",i like machine toys
が,"['おもちゃ', 'が', '好き', 'i like toys']",i like toys
好き,"['息子', 'おもちゃ', '好き', 'です', '。', ""I love my son's toys.""]",I love my son's toys.
です,"['好き', 'です', 'I like it']",I like it
飛行,"['飛行', '機', '遅れ', 'flight delay']",flight delay
機,"['飛行', '機', 'が', '遅れ', 'flight is delayed']",flight is delayed
が,"['機', 'が', '遅れ', 'late']",late
1,"['1', '以上', '遅れ', '1 or more lag']",1 or more lag
時間,"['時間', '以上', '遅れ', 'more than an hour late']",more than an hour late
以上,"['1', '時間', '以上', '遅れ', 'more than 1 hour late']",more than 1 hour late
遅れ,"['機', '以上', '遅れ', 'た', '。', 'I was late by more than a plane.']",I was late by more than a plane.
た,"['遅れ', 'た', 'Late']",Late
祖父,"['祖父', 'が', 'なっ', 'my grandfather turned']",my grandfather turned
が,"['祖父', 'が', 'なっ', 'my grandfather turned']",my grandfather turned
病気,"['病気', 'に', 'なっ', 'get sick']",get sick
に,"['病気', 'に', 'なっ', 'get sick']",get sick
なっ,"['祖父', '病気', 'なっ', 'た', '。', 'Grandfather got sick.']",Grandfather got sick.
た,"['なっ', 'た', 'became']",became
彼女,"['彼女', 'は', '助け', 'she help']",she help
は,"['彼女', 'は', '助け', 'she help']",she help
病気,"['病気', 'の', '犬', '助け', 'helping a sick dog']",helping a sick dog
の,"['病気', 'の', '犬', '助け', 'helping a sick dog']",helping a sick dog
犬,"['病気', '犬', 'を', '助け', 'help a sick dog']",help a sick dog
を,"['犬', 'を', '助け', 'help the dog']",help the dog
助け,"['彼女', '犬', '助け', 'た', '。', 'I helped her dog.']",I helped her dog.
た,"['助け', 'た', 'helped']",helped
カナダ,"['カナダ', 'の', '冬', '寒い', 'cold winter in canada']",cold winter in canada
の,"['カナダ', 'の', '冬', '寒い', 'cold winter in canada']",cold winter in canada
冬,"['カナダ', '冬', 'は', '寒い', 'Canadian winters are cold']",Canadian winters are cold
は,"['冬', 'は', '寒い', 'winter is cold']",winter is cold
とても,"['とても', '寒い', 'Very cold']",Very cold
寒い,"['冬', 'とても', '寒い', 'です', '。', 'It is very cold in winter.']",It is very cold in winter.
です,"['寒い', 'です', ""it's cold""]",it's cold
冬,"['冬', 'は', '行き', 'winter goes']",winter goes
は,"['冬', 'は', '行き', 'winter goes']",winter goes
よく,"['よく', '行き', 'frequent']",frequent
スキー,"['スキー', 'に', '行き', 'go skiing']",go skiing
に,"['スキー', 'に', '行き', 'go skiing']",go skiing
行き,"['冬', 'よく', 'スキー', '行き', 'ます', '。', 'I often go skiing in winter.']",I often go skiing in winter.
ます,"['行き', 'ます', 'to go']",to go
新しい,"['新しい', '年', '始まり', 'new year beginning']",new year beginning
年,"['新しい', '年', 'が', '始まり', 'new year begins']",new year begins
が,"['年', 'が', '始まり', 'the year begins']",the year begins
始まり,"['年', '始まり', 'まし', 'た', '。', 'year has begun.']",year has begun.
まし,"['始まり', 'まし', 'started']",started
た,"['始まり', 'た', 'started']",started
いとこ,"['いとこ', 'と', '年', 'cousins \u200b\u200band years']",cousins ​​and years
と,"['いとこ', 'と', '年', 'cousins \u200b\u200band years']",cousins ​​and years
私,"['私', 'は', '年', ""i'm a year""]",i'm a year
は,"['私', 'は', '年', ""i'm a year""]",i'm a year
同じ,"['同じ', '年', 'same year']",same year
年,"['いとこ', '私', '同じ', '年', 'です', '。', 'My cousin is the same age as me.']",My cousin is the same age as me.
です,"['年', 'です', 'is the year']",is the year
この,"['この', 'かばん', '重い', 'this bag is heavy']",this bag is heavy
かばん,"['この', 'かばん', 'は', '重い', 'this bag is heavy']",this bag is heavy
は,"['かばん', 'は', '重い', 'the bag is heavy']",the bag is heavy
重い,"['かばん', '重い', 'です', '。', 'My bag is heavy.']",My bag is heavy.
です,"['重い', 'です', 'Heavy']",Heavy
この,"['この', '箱', '重い', 'this box is heavy']",this box is heavy
箱,"['この', '箱', 'は', '重い', 'this box is heavy']",this box is heavy
は,"['箱', 'は', '重い', 'the box is heavy']",the box is heavy
重い,"['箱', '重い', '。', 'Box heavy.']",Box heavy.
胸,"['胸', 'に', 'あり', 'in the chest']",in the chest
に,"['胸', 'に', 'あり', 'in the chest']",in the chest
少し,"['少し', 'あり', 'there is a little']",there is a little
痛,"['痛', 'あり', 'with pain']",with pain
み,"['み', 'が', 'あり', 'There is a mirror']",There is a mirror
が,"['み', 'が', 'あり', 'There is a mirror']",There is a mirror
あり,"['胸', '少し', '痛', 'み', 'あり', 'ます', '。', 'I have a little pain in my chest.']",I have a little pain in my chest.
ます,"['あり', 'ます', 'I have']",I have
彼女,"['彼女', 'の', '髪', 'ある', 'she has hair']",she has hair
の,"['彼女', 'の', '髪', 'ある', 'she has hair']",she has hair
髪,"['彼女', '髪', 'は', 'ある', 'she has hair']",she has hair
は,"['髪', 'は', 'ある', 'have hair']",have hair
胸,"['胸', 'まで', 'ある', 'up to the chest']",up to the chest
まで,"['胸', 'まで', 'ある', 'up to the chest']",up to the chest
ある,"['髪', '胸', 'ある', '。', 'I have hair and chest.']",I have hair and chest.
私,"['私', 'が', '払い', 'i pay']",i pay
が,"['私', 'が', '払い', 'i pay']",i pay
払い,"['私', '払い', 'ましょう', '。', ""I'll pay""]",I'll pay
ましょう,"['払い', 'ましょう', ""let's pay""]",let's pay
別々,"['別々', 'に', '払い', 'pay separately']",pay separately
に,"['別々', 'に', '払い', 'pay separately']",pay separately
払い,"['別々', '払い', 'ましょう', '。', 'Pay separately.']",Pay separately.
ましょう,"['払い', 'ましょう', ""let's pay""]",let's pay
この,"['この', '靴', '軽い', 'this shoe is light']",this shoe is light
靴,"['この', '靴', 'は', '軽い', 'this shoe is light']",this shoe is light
は,"['靴', 'は', '軽い', 'shoes are light']",shoes are light
とても,"['とても', '軽い', 'very light']",very light
軽い,"['靴', 'とても', '軽い', '。', 'The shoes are very light.']",The shoes are very light.
あなた,"['あなた', 'の', 'かばん', '軽い', 'your bag is light']",your bag is light
の,"['あなた', 'の', 'かばん', '軽い', 'your bag is light']",your bag is light
かばん,"['あなた', 'かばん', 'は', '軽い', 'your bag is light']",your bag is light
は,"['かばん', 'は', '軽い', 'the bag is light']",the bag is light
軽い,"['かばん', '軽い', 'です', 'ね', '。', ""The bag is light, isn't it?""]","The bag is light, isn't it?"
です,"['軽い', 'です', 'light']",light
ね,"['軽い', 'ね', 'light']",light
新しい,"['新しい', '仕事', '見つけ', 'find a new job']",find a new job
仕事,"['新しい', '仕事', 'を', '見つけ', 'find a new job']",find a new job
を,"['仕事', 'を', '見つけ', 'find a job']",find a job
見つけ,"['仕事', '見つけ', 'まし', 'た', '。', 'i found a job']",i found a job
まし,"['見つけ', 'まし', 'found']",found
た,"['見つけ', 'た', 'I found it']",I found it
うまい,"['うまい', '屋', '見つけ', 'find a good shop']",find a good shop
寿司,"['寿司', '屋', '見つけ', 'find a sushi bar']",find a sushi bar
屋,"['うまい', '寿司', '屋', 'を', '見つけ', 'find a good sushi restaurant']",find a good sushi restaurant
を,"['屋', 'を', '見つけ', 'find ya']",find ya
見つけ,"['屋', '見つけ', 'た', 'よ', '。', 'I found a ya']",I found a ya
た,"['見つけ', 'た', 'I found it']",I found it
よ,"['見つけ', 'よ', 'find']",find
約束,"['約束', 'を', '忘れ', 'forget the promise']",forget the promise
を,"['約束', 'を', '忘れ', 'forget the promise']",forget the promise
忘れ,"['約束', '忘れ', 'ない', 'で', '。', ""Don't forget your promise.""]",Don't forget your promise.
ない,"['忘れ', 'ない', 'will not forget']",will not forget
で,"['忘れ', 'で', 'ください', 'forget it']",forget it
ください,"['忘れ', 'で', 'ください', 'forget it']",forget it
電車,"['電車', 'に', '忘れ', 'left on the train']",left on the train
に,"['電車', 'に', '忘れ', 'left on the train']",left on the train
傘,"['傘', 'を', '忘れ', 'forget your umbrella']",forget your umbrella
を,"['傘', 'を', '忘れ', 'forget your umbrella']",forget your umbrella
忘れ,"['電車', '傘', '忘れ', 'た', '。', 'I forgot my train umbrella.']",I forgot my train umbrella.
た,"['忘れ', 'た', 'I forgot']",I forgot
彼女,"['彼女', 'は', '強い', 'she is strong']",she is strong
は,"['彼女', 'は', '強い', 'she is strong']",she is strong
酒,"['酒', 'に', '強い', 'resistant to alcohol']",resistant to alcohol
に,"['酒', 'に', '強い', 'resistant to alcohol']",resistant to alcohol
強い,"['彼女', '酒', '強い', '。', 'She is a heavy drinker.']",She is a heavy drinker.
友達,"['友達', 'と', '酒', '飲ん', 'drinking with friends']",drinking with friends
と,"['友達', 'と', '酒', '飲ん', 'drinking with friends']",drinking with friends
お,"['お', '酒', '飲ん', 'drinker']",drinker
酒,"['友達', 'お', '酒', 'を', '飲ん', 'friends drinking']",friends drinking
を,"['酒', 'を', '飲ん', 'drink']",drink
飲ん,"['酒', '飲ん', 'で', 'ます', '。', ""I'm drinking.""]",I'm drinking.
で,"['飲ん', 'で', 'い', 'drinking']",drinking
い,"['飲ん', 'で', 'い', 'drinking']",drinking
ます,"['飲ん', 'ます', 'drink']",drink
肉,"['肉', 'と', '魚', '好き', 'i like meat and fish']",i like meat and fish
と,"['肉', 'と', '魚', '好き', 'i like meat and fish']",i like meat and fish
魚,"['肉', 'と', '魚', '好き', 'i like meat and fish']",i like meat and fish
と,"['と', '魚', '好き', 'and fish lover']",and fish lover
どちら,"['どちら', 'が', '好き', 'Which do you prefer']",Which do you prefer
が,"['どちら', 'が', '好き', 'Which do you prefer']",Which do you prefer
好き,"['魚', 'どちら', '好き', 'です', 'か', '。', 'Which fish do you like?']",Which fish do you like?
です,"['好き', 'です', 'I like it']",I like it
か,"['好き', 'か', 'do you like']",do you like
コーヒー,"['コーヒー', 'と', '紅茶', 'し', 'coffee and tea']",coffee and tea
と,"['コーヒー', 'と', '紅茶', 'し', 'coffee and tea']",coffee and tea
紅茶,"['コーヒー', '紅茶', '、', 'し', 'coffee tea,']","coffee tea,"
どちら,"['どちら', 'に', 'し', 'which one']",which one
に,"['どちら', 'に', 'し', 'which one']",which one
し,"['紅茶', 'どちら', 'し', 'ます', 'か', '。', 'Which tea would you like?']",Which tea would you like?
ます,"['し', 'ます', 'To do']",To do
か,"['し', 'か', 'deer']",deer
姉,"['姉', 'は', '生', 'my sister is alive']",my sister is alive
は,"['姉', 'は', '生', 'my sister is alive']",my sister is alive
大学,"['大学', '生', 'university student']",university student
生,"['姉', '大学', '生', 'です', '。', 'My sister is a college student.']",My sister is a college student.
です,"['生', 'です', 'raw']",raw
姉,"['姉', 'は', '働い', 'my sister works']",my sister works
は,"['姉', 'は', '働い', 'my sister works']",my sister works
銀行,"['銀行', 'で', '働い', 'work in a bank']",work in a bank
で,"['銀行', 'で', '働い', 'work in a bank']",work in a bank
働い,"['姉', '銀行', '働い', 'て', 'ます', '。', ""I work at my sister's bank.""]",I work at my sister's bank.
て,"['働い', 'い', 'て', 'working']",working
い,"['働い', 'い', 'て', 'working']",working
ます,"['働い', 'ます', 'work']",work
妹,"['妹', 'は', '覚え', 'my sister remembers']",my sister remembers
は,"['妹', 'は', '覚え', 'my sister remembers']",my sister remembers
平仮名,"['平仮名', 'を', '全部', '覚え', 'memorize all hiragana']",memorize all hiragana
を,"['平仮名', 'を', '全部', '覚え', 'memorize all hiragana']",memorize all hiragana
全部,"['平仮名', '全部', '覚え', 'Memorize all hiragana']",Memorize all hiragana
覚え,"['妹', '全部', '覚え', 'まし', 'た', '。', 'I remember all my sisters.']",I remember all my sisters.
まし,"['覚え', 'まし', 'Remember']",Remember
た,"['覚え', 'た', 'remembered']",remembered
その,"['その', '車', 'ナンバー', '覚え', 'remember the car number']",remember the car number
車,"['その', 'の', '車', 'ナンバー', '覚え', 'remember that car number']",remember that car number
の,"['の', '車', 'ナンバー', '覚え', 'remember the car number']",remember the car number
ナンバー,"['車', 'ナンバー', 'を', '覚え', 'remember the car number']",remember the car number
を,"['ナンバー', 'を', '覚え', 'remember the number']",remember the number
覚え,"['ナンバー', '覚え', 'て', 'ます', 'か', '。', 'Do you remember the number?']",Do you remember the number?
て,"['覚え', 'て', 'い', 'remember']",remember
い,"['覚え', 'て', 'い', 'remember']",remember
ます,"['覚え', 'ます', 'remember']",remember
か,"['覚え', 'か', 'do you remember']",do you remember
私,"['私', 'の', '部屋', '狭い', 'my room is small']",my room is small
の,"['私', 'の', '部屋', '狭い', 'my room is small']",my room is small
部屋,"['私', '部屋', 'は', '狭い', 'my room is small']",my room is small
は,"['部屋', 'は', '狭い', 'the room is small']",the room is small
狭い,"['部屋', '狭い', 'です', '。', 'The room is small.']",The room is small.
です,"['狭い', 'です', 'Narrow']",Narrow
新しい,"['新しい', 'オフィス', '狭い', 'new office small']",new office small
オフィス,"['新しい', 'オフィス', 'は', '狭い', 'new office is small']",new office is small
は,"['オフィス', 'は', '狭い', 'office is small']",office is small
とても,"['とても', '狭い', 'very narrow']",very narrow
狭い,"['オフィス', 'とても', '狭い', '。', 'Office is very small.']",Office is very small.
赤い,"['赤い', 'バラ', '買い', 'buying red roses']",buying red roses
バラ,"['赤い', 'バラ', 'を', '買い', 'buy red roses']",buy red roses
を,"['バラ', 'を', '買い', 'buy roses']",buy roses
買い,"['バラ', '買い', 'まし', 'た', '。', 'I bought a rose.']",I bought a rose.
まし,"['買い', 'まし', 'bought']",bought
た,"['買い', 'た', 'bought']",bought
赤い,"['赤い', '線', '引い', 'red line drawing']",red line drawing
線,"['赤い', '線', 'を', '引い', 'draw a red line']",draw a red line
を,"['線', 'を', '引い', 'draw a line']",draw a line
2,"['2', '本', '引い', '2 pulls']",2 pulls
本,"['2', '本', '引い', '2 pulls']",2 pulls
引い,"['線', '本', '引い', 'て', '。', 'Draw the line.']",Draw the line.
て,"['引い', 'て', 'ください', 'please pull']",please pull
ください,"['引い', 'て', 'ください', 'please pull']",please pull
今日,"['今日', 'は', '着', 'today']",today
は,"['今日', 'は', '着', 'today']",today
スーツ,"['スーツ', 'を', '着', 'wear a suit']",wear a suit
を,"['スーツ', 'を', '着', 'wear a suit']",wear a suit
着,"['今日', 'スーツ', '着', 'て', 'ます', '。', ""I'm wearing a suit today.""]",I'm wearing a suit today.
て,"['着', 'て', 'い', 'wear']",wear
い,"['着', 'て', 'い', 'wear']",wear
ます,"['着', 'ます', 'wear']",wear
この,"['この', 'パジャマ', '着', 'wearing these pajamas']",wearing these pajamas
パジャマ,"['この', 'パジャマ', 'を', '着', 'wearing these pajamas']",wearing these pajamas
を,"['パジャマ', 'を', '着', 'wearing pajamas']",wearing pajamas
着,"['パジャマ', '着', 'て', '。', 'wearing pajamas.']",wearing pajamas.
て,"['着', 'て', 'wear']",wear
赤ん坊,"['赤ん坊', 'が', '笑っ', 'baby laughing']",baby laughing
が,"['赤ん坊', 'が', '笑っ', 'baby laughing']",baby laughing
笑っ,"['赤ん坊', '笑っ', 'て', 'ます', '。', 'baby laughing']",baby laughing
て,"['笑っ', 'て', 'い', 'laughing']",laughing
い,"['笑っ', 'て', 'い', 'laughing']",laughing
ます,"['笑っ', 'ます', 'laugh']",laugh
妹,"['妹', 'は', '笑い', 'my sister laughs']",my sister laughs
は,"['妹', 'は', '笑い', 'my sister laughs']",my sister laughs
よく,"['よく', '笑い', 'laugh a lot']",laugh a lot
笑い,"['妹', 'よく', '笑い', 'ます', '。', 'My sister often laughs.']",My sister often laughs.
ます,"['笑い', 'ます', 'laugh']",laugh
彼,"['彼', 'は', '高い', 'he is tall']",he is tall
は,"['彼', 'は', '高い', 'he is tall']",he is tall
クラス,"['クラス', 'で', '高い', 'high in class']",high in class
で,"['クラス', 'で', '高い', 'high in class']",high in class
一番,"['一番', '高い', 'highest']",highest
背,"['背', 'が', '高い', 'tall']",tall
が,"['背', 'が', '高い', 'tall']",tall
高い,"['彼', 'クラス', '一番', '背', '高い', '。', 'He is the tallest in his class.']",He is the tallest in his class.
これ,"['これ', 'が', 'ビル', 'this is the building']",this is the building
が,"['これ', 'が', 'ビル', 'this is the building']",this is the building
この,"['この', '町', 'ビル', 'this town building']",this town building
町,"['この', '町', 'で', 'ビル', 'Bill in this town']",Bill in this town
で,"['町', 'で', 'ビル', 'building in town']",building in town
一番,"['一番', '高い', 'ビル', 'tallest building']",tallest building
高い,"['一番', '高い', 'ビル', 'tallest building']",tallest building
ビル,"['これ', '町', '高い', 'ビル', 'です', '。', 'This is the tallest building in town.']",This is the tallest building in town.
です,"['ビル', 'です', ""It's a building""]",It's a building
今日,"['今日', 'は', 'あり', 'there is today']",there is today
は,"['今日', 'は', 'あり', 'there is today']",there is today
日本,"['日本', '語', '授業', 'あり', 'Japanese class available']",Japanese class available
語,"['日本', '語', 'の', '授業', 'あり', 'Japanese class available']",Japanese class available
の,"['語', 'の', '授業', 'あり', 'language classes available']",language classes available
授業,"['語', '授業', 'が', 'あり', 'there is a language class']",there is a language class
が,"['授業', 'が', 'あり', 'I have a class']",I have a class
あり,"['今日', '授業', 'あり', 'ます', '。', 'I have class today.']",I have class today.
ます,"['あり', 'ます', 'I have']",I have
私,"['私', 'は', '好き', 'I like']",I like
は,"['私', 'は', '好き', 'I like']",I like
英語,"['英語', 'の', '授業', '好き', 'i like english class']",i like english class
の,"['英語', 'の', '授業', '好き', 'i like english class']",i like english class
授業,"['英語', '授業', 'が', '好き', 'i like english class']",i like english class
が,"['授業', 'が', '好き', 'i like class']",i like class
好き,"['私', '授業', '好き', 'です', '。', 'I like my classes']",I like my classes
です,"['好き', 'です', 'I like it']",I like it
その,"['その', '次', '週', '空い', 'free next week']",free next week
次,"['その', 'の', '次', '週', '空い', 'free next week']",free next week
の,"['の', '次', '週', '空い', 'free next week']",free next week
週,"['次', '週', 'は', '空い', 'free next week']",free next week
は,"['週', 'は', '空い', 'free for the week']",free for the week
空い,"['週', '空い', 'て', 'ます', 'か', '。', 'are you free this week']",are you free this week
て,"['空い', 'て', 'Vacant']",Vacant
ます,"['空い', 'ます', 'vacant']",vacant
か,"['空い', 'か', 'is it free']",is it free
私,"['私', 'は', 'し', 'I do']",I do
は,"['私', 'は', 'し', 'I do']",I do
週,"['週', 'に', '回', 'し', 'round the week']",round the week
に,"['週', 'に', '回', 'し', 'round the week']",round the week
1,"['1', '回', 'し', 'one time']",one time
回,"['週', '1', '回', '、', 'し', 'once a week']",once a week
テニス,"['テニス', 'を', 'し', 'play tennis']",play tennis
を,"['テニス', 'を', 'し', 'play tennis']",play tennis
し,"['私', '回', 'テニス', 'し', 'ます', '。', 'I play tennis']",I play tennis
ます,"['し', 'ます', 'To do']",To do
漢字,"['漢字', 'は', 'き', 'Kanji writing']",Kanji writing
は,"['漢字', 'は', 'き', 'Kanji writing']",Kanji writing
中国,"['中国', 'から', 'き', 'from china']",from china
から,"['中国', 'から', 'き', 'from china']",from china
き,"['漢字', '中国', 'き', 'まし', 'た', '。', 'Kanji came from China.']",Kanji came from China.
まし,"['き', 'まし', 'custom']",custom
た,"['き', 'た', 'Came']",Came
この,"['この', '漢字', '方', '教え', 'This kanji method']",This kanji method
漢字,"['この', 'の', '漢字', '方', '教え', 'This kanji method']",This kanji method
の,"['の', '漢字', '方', '教え', 'kanji dialect of']",kanji dialect of
読み,"['読み', '方', '教え', 'teaching how to read']",teaching how to read
方,"['漢字', '読み', '方', 'を', '教え', 'teach how to read kanji']",teach how to read kanji
を,"['方', 'を', '教え', 'tell me how']",tell me how
教え,"['方', '教え', 'て', '。', 'tell me how']",tell me how
て,"['教え', 'て', 'ください', 'please tell me']",please tell me
ください,"['教え', 'て', 'ください', 'please tell me']",please tell me
毎日,"['毎日', '、', '行き', 'go every day']",go every day
駅,"['駅', 'まで', '行き', 'go to the station']",go to the station
まで,"['駅', 'まで', '行き', 'go to the station']",go to the station
自転車,"['で', '自転車', '行き', 'to go by bicycle']",to go by bicycle
で,"['で', '自転車', '行き', 'to go by bicycle']",to go by bicycle
行き,"['毎日', '駅', '自転車', '行き', 'ます', '。', 'I go to the station by bicycle every day.']",I go to the station by bicycle every day.
ます,"['行き', 'ます', 'to go']",to go
昨日,"['昨日', '、', '行き', 'yesterday go']",yesterday go
自転車,"['自転車', 'で', '行き', 'go by bike']",go by bike
で,"['自転車', 'で', '行き', 'go by bike']",go by bike
海,"['海', 'に', '行き', 'go to sea']",go to sea
に,"['海', 'に', '行き', 'go to sea']",go to sea
行き,"['昨日', '自転車', '海', '行き', 'まし', 'た', '。', 'I went to the sea by bicycle yesterday.']",I went to the sea by bicycle yesterday.
まし,"['行き', 'まし', 'I went']",I went
た,"['行き', 'た', 'To go']",To go
私,"['私', 'は', '通学', 'i go to school']",i go to school
は,"['私', 'は', '通学', 'i go to school']",i go to school
電車,"['電車', 'で', '通学', 'go to school by train']",go to school by train
で,"['電車', 'で', '通学', 'go to school by train']",go to school by train
通学,"['私', '電車', '通学', 'し', 'て', 'ます', '。', 'I go to school by private train.']",I go to school by private train.
し,"['通学', 'し', 'going to school']",going to school
て,"['通学', 'て', 'い', 'commute to school']",commute to school
い,"['通学', 'て', 'い', 'commute to school']",commute to school
ます,"['通学', 'ます', 'going to school']",going to school
電車,"['電車', 'に', '忘れ', 'left on the train']",left on the train
に,"['電車', 'に', '忘れ', 'left on the train']",left on the train
